subscription_id,user_id,plan,start_date,end_date,mrr,payment_method
sub_00157,u_00387,enterprise,2026-05-03,,199.2,credit_card
sub_00158,u_00388,pro,2025-11-10,,79.0,credit_card
sub_00159,u_00389,pro,2025-10-04,,79.0,credit_card
sub_00160,u_00390,pro,2025-06-01,,63.2,paypal
sub_00161,u_00392,basic,2026-03-25,,29.0,paypal
sub_00162,u_00395,basic,2025-06-01,,29.0,paypal
sub_00163,u_00397,basic,2026-03-11,,29.0,paypal
sub_00164,u_00404,enterprise,2026-04-05,,199.2,credit_card
sub_00165,u_00408,basic,2025-06-22,,26.1,credit_card
sub_00166,u_00410,basic,2026-04-05,,23.2,credit_card
sub_00167,u_00411,basic,2025-06-01,,26.1,credit_card
sub_00168,u_00414,pro,2026-01-06,,79.0,paypal
sub_00169,u_00415,basic,2026-03-06,,29.0,paypal
sub_00170,u_00416,basic,2026-04-11,2026-05-31,29.0,paypal
sub_00171,u_00422,basic,2026-05-18,,29.0,credit_card
sub_00172,u_00424,basic,2026-05-23,,29.0,paypal
sub_00173,u_00425,basic,2026-02-04,,29.0,credit_card
sub_00174,u_00427,basic,2025-07-17,,29.0,credit_card
sub_00175,u_00429,basic,2026-05-13,,26.1,credit_card
sub_00176,u_00432,basic,2026-01-11,,29.0,credit_card
sub_00177,u_00434,pro,2026-05-19,,79.0,paypal
sub_00178,u_00440,basic,2026-05-19,,29.0,credit_card
sub_00179,u_00441,basic,2025-06-01,,29.0,credit_card
sub_00180,u_00442,pro,2026-03-24,,79.0,credit_card
sub_00181,u_00443,enterprise,2026-03-25,,249.0,credit_card
sub_00182,u_00445,basic,2025-06-01,,29.0,paypal
sub_00183,u_00447,basic,2025-11-09,,29.0,credit_card
sub_00184,u_00449,enterprise,2026-05-19,,249.0,paypal
sub_00185,u_00450,basic,2025-10-25,,26.1,bank_transfer
sub_00186,u_00451,enterprise,2026-02-01,,249.0,credit_card
sub_00187,u_00452,basic,2026-03-12,,29.0,credit_card
sub_00188,u_00453,pro,2025-06-21,,71.1,paypal
sub_00189,u_00454,basic,2026-05-14,,29.0,credit_card
sub_00190,u_00462,enterprise,2025-11-13,,249.0,paypal
sub_00191,u_00463,pro,2026-01-24,,63.2,credit_card
sub_00192,u_00468,basic,2026-04-25,,29.0,credit_card
sub_00193,u_00471,pro,2025-06-01,,79.0,bank_transfer
sub_00194,u_00472,basic,2026-05-25,,23.2,credit_card
sub_00195,u_00474,basic,2026-02-11,,29.0,credit_card
sub_00196,u_00481,basic,2025-12-09,,23.2,credit_card
sub_00197,u_00482,basic,2026-03-04,,29.0,credit_card
sub_00198,u_00485,basic,2025-06-29,,29.0,credit_card
sub_00199,u_00487,pro,2026-04-13,,79.0,paypal
sub_00200,u_00488,basic,2025-06-01,,29.0,credit_card
sub_00201,u_00494,basic,2026-03-02,,29.0,paypal
sub_00202,u_00502,basic,2026-04-08,,29.0,credit_card
sub_00203,u_00504,basic,2025-12-14,,29.0,paypal
sub_00204,u_00508,basic,2025-06-01,,29.0,credit_card
sub_00205,u_00514,basic,2026-05-25,,29.0,credit_card
sub_00206,u_00516,basic,2026-03-24,,29.0,credit_card
sub_00207,u_00518,basic,2025-06-01,2025-06-08,29.0,credit_card
sub_00208,u_00519,basic,2026-05-08,,23.2,credit_card
sub_00209,u_00521,basic,2026-03-23,,29.0,credit_card
sub_00210,u_00522,pro,2025-06-01,,79.0,paypal
sub_00211,u_00525,basic,2026-02-28,,23.2,paypal
sub_00212,u_00528,pro,2026-05-23,,79.0,credit_card
sub_00213,u_00530,basic,2025-09-29,,29.0,credit_card
sub_00214,u_00531,basic,2025-06-01,,29.0,paypal
sub_00215,u_00532,enterprise,2025-06-01,,249.0,paypal
sub_00216,u_00541,basic,2026-01-16,,29.0,paypal
sub_00217,u_00542,basic,2026-04-24,,26.1,credit_card
sub_00218,u_00543,basic,2025-12-20,,29.0,paypal
sub_00219,u_00544,pro,2026-01-11,,79.0,credit_card
sub_00220,u_00546,enterprise,2026-05-14,,199.2,credit_card
sub_00221,u_00547,pro,2025-12-20,,79.0,credit_card
sub_00222,u_00554,basic,2025-07-31,,23.2,credit_card
sub_00223,u_00557,pro,2026-05-27,,79.0,credit_card
sub_00224,u_00559,enterprise,2026-01-11,,249.0,credit_card
sub_00225,u_00561,enterprise,2026-04-27,,224.1,credit_card
sub_00226,u_00565,basic,2026-01-22,,29.0,credit_card
sub_00227,u_00566,pro,2026-03-20,,71.1,credit_card
sub_00228,u_00568,pro,2025-06-24,,63.2,credit_card
sub_00229,u_00570,basic,2026-02-15,,23.2,credit_card
sub_00230,u_00571,basic,2025-10-21,,29.0,credit_card
sub_00231,u_00574,pro,2025-08-16,,79.0,credit_card
sub_00232,u_00575,pro,2025-06-01,,79.0,credit_card
sub_00233,u_00576,enterprise,2026-05-08,,199.2,credit_card
sub_00234,u_00577,pro,2025-06-01,,79.0,credit_card
sub_00235,u_00579,basic,2026-04-18,,26.1,credit_card
sub_00236,u_00581,enterprise,2025-06-01,,249.0,credit_card
sub_00237,u_00587,pro,2026-05-11,,63.2,paypal
sub_00238,u_00588,basic,2026-05-12,2026-05-31,29.0,credit_card
sub_00239,u_00590,basic,2026-05-10,,29.0,credit_card
sub_00240,u_00591,basic,2026-01-02,,29.0,paypal
sub_00241,u_00594,pro,2025-07-05,,71.1,credit_card
sub_00242,u_00595,basic,2026-02-27,,26.1,credit_card
sub_00243,u_00597,basic,2026-05-04,,26.1,credit_card
sub_00244,u_00602,basic,2026-05-03,,29.0,credit_card
sub_00245,u_00603,pro,2026-05-18,,79.0,credit_card
sub_00246,u_00606,basic,2026-04-28,,26.1,credit_card
sub_00247,u_00607,pro,2026-03-27,,63.2,credit_card
sub_00248,u_00608,basic,2026-02-19,,29.0,credit_card
sub_00249,u_00609,pro,2025-12-12,,79.0,credit_card
sub_00250,u_00611,basic,2025-10-10,,29.0,credit_card
sub_00251,u_00616,pro,2026-05-22,,79.0,credit_card
sub_00252,u_00617,pro,2026-04-14,,79.0,bank_transfer
sub_00253,u_00622,basic,2026-03-25,,26.1,credit_card
sub_00254,u_00623,pro,2026-02-24,,79.0,credit_card
sub_00255,u_00624,enterprise,2026-01-11,,249.0,credit_card
sub_00256,u_00625,basic,2026-03-25,,23.2,credit_card
sub_00257,u_00626,basic,2026-03-02,,26.1,paypal
sub_00258,u_00631,basic,2025-07-07,,29.0,credit_card
sub_00259,u_00635,enterprise,2026-03-06,,249.0,credit_card
sub_00260,u_00637,basic,2026-04-21,2026-04-28,29.0,credit_card
sub_00261,u_00638,basic,2026-04-16,,29.0,paypal
sub_00262,u_00641,pro,2026-04-05,,71.1,bank_transfer
sub_00263,u_00643,pro,2026-04-04,,79.0,bank_transfer
sub_00264,u_00646,pro,2026-01-20,,79.0,credit_card
sub_00265,u_00647,basic,2025-12-17,,26.1,credit_card
sub_00266,u_00648,enterprise,2025-10-17,,224.1,credit_card
sub_00267,u_00649,basic,2026-02-20,,26.1,paypal
sub_00268,u_00650,pro,2026-05-18,,79.0,paypal
sub_00269,u_00651,basic,2026-02-08,,29.0,credit_card
sub_00270,u_00652,basic,2026-01-23,,26.1,paypal
sub_00271,u_00655,pro,2026-05-12,,79.0,credit_card
sub_00272,u_00662,pro,2026-01-16,2026-01-23,79.0,paypal
sub_00273,u_00668,basic,2026-05-01,,29.0,credit_card
sub_00274,u_00670,pro,2026-05-04,,63.2,credit_card
sub_00275,u_00675,basic,2025-06-01,,29.0,credit_card
sub_00276,u_00676,pro,2026-05-14,,79.0,credit_card
sub_00277,u_00677,basic,2026-03-19,,29.0,credit_card
sub_00278,u_00681,enterprise,2026-04-18,,249.0,credit_card
sub_00279,u_00683,basic,2025-12-22,,23.2,credit_card
sub_00280,u_00688,basic,2025-10-30,,26.1,credit_card
sub_00281,u_00690,basic,2026-04-05,,23.2,credit_card
sub_00282,u_00692,enterprise,2026-02-17,,249.0,paypal
sub_00283,u_00694,pro,2026-05-14,,79.0,credit_card
sub_00284,u_00695,basic,2026-01-14,,23.2,paypal
sub_00285,u_00696,enterprise,2026-04-12,,224.1,credit_card
sub_00286,u_00698,basic,2026-05-07,,29.0,paypal
sub_00287,u_00703,enterprise,2026-05-10,2026-05-31,249.0,credit_card
sub_00288,u_00706,basic,2026-04-05,,29.0,credit_card
sub_00289,u_00708,basic,2026-04-19,,23.2,credit_card
sub_00290,u_00712,pro,2026-02-28,,71.1,paypal
sub_00291,u_00713,basic,2026-03-15,,29.0,paypal
sub_00292,u_00714,enterprise,2026-03-30,,224.1,credit_card
sub_00293,u_00720,basic,2025-06-01,,29.0,credit_card
sub_00294,u_00723,pro,2025-11-16,,79.0,paypal
sub_00295,u_00724,basic,2026-01-27,2026-04-06,23.2,paypal
sub_00296,u_00729,basic,2026-05-05,,29.0,credit_card
sub_00297,u_00731,pro,2025-09-28,,79.0,bank_transfer
sub_00298,u_00732,basic,2025-12-23,,26.1,credit_card
sub_00299,u_00733,basic,2026-02-13,,29.0,credit_card
sub_00300,u_00736,basic,2026-03-20,,23.2,credit_card
sub_00301,u_00741,basic,2026-04-09,,29.0,paypal
sub_00302,u_00746,pro,2026-03-22,2026-04-22,79.0,credit_card
sub_00303,u_00747,pro,2026-02-06,,79.0,bank_transfer
sub_00304,u_00751,basic,2025-06-01,,26.1,credit_card
sub_00305,u_00753,basic,2026-04-02,,29.0,bank_transfer
sub_00306,u_00755,basic,2025-10-13,,29.0,credit_card
sub_00307,u_00757,basic,2026-02-09,2026-04-06,29.0,credit_card
sub_00308,u_00759,basic,2025-10-17,,29.0,paypal
sub_00309,u_00762,basic,2026-04-20,,29.0,credit_card
sub_00310,u_00764,basic,2026-05-27,,29.0,credit_card
sub_00311,u_00765,basic,2026-01-29,,23.2,bank_transfer
sub_00312,u_00771,basic,2025-09-01,,29.0,paypal
sub_00313,u_00777,basic,2025-11-26,,23.2,credit_card
sub_00314,u_00778,basic,2025-11-27,,29.0,credit_card
sub_00315,u_00780,enterprise,2025-12-10,,249.0,credit_card
sub_00316,u_00782,pro,2026-04-19,,79.0,credit_card
sub_00317,u_00783,basic,2026-03-31,,26.1,credit_card
sub_00318,u_00784,basic,2026-05-02,,29.0,credit_card
sub_00319,u_00788,basic,2026-03-02,,26.1,credit_card
sub_00320,u_00790,basic,2026-05-07,,29.0,credit_card
sub_00321,u_00792,basic,2026-02-18,,26.1,paypal
sub_00322,u_00798,basic,2025-12-09,,29.0,credit_card
sub_00323,u_00801,basic,2026-05-07,,23.2,credit_card
sub_00324,u_00803,pro,2026-01-16,,79.0,credit_card
sub_00325,u_00804,enterprise,2026-03-12,,199.2,paypal
sub_00326,u_00808,basic,2026-03-05,,23.2,credit_card
sub_00327,u_00810,basic,2025-06-01,,23.2,paypal
sub_00328,u_00811,basic,2025-09-08,2025-10-16,23.2,credit_card
sub_00329,u_00813,basic,2025-06-01,,29.0,paypal
sub_00330,u_00814,basic,2025-08-08,,26.1,paypal
sub_00331,u_00816,pro,2026-01-21,,71.1,credit_card
sub_00332,u_00817,basic,2026-03-18,,29.0,credit_card
sub_00333,u_00822,enterprise,2026-04-02,2026-04-09,199.2,credit_card
sub_00334,u_00824,basic,2026-02-08,,23.2,bank_transfer
sub_00335,u_00827,pro,2026-03-30,,79.0,credit_card
sub_00336,u_00828,pro,2025-11-18,,63.2,credit_card
sub_00337,u_00835,enterprise,2026-03-13,,249.0,bank_transfer
sub_00338,u_00837,pro,2026-03-27,,79.0,paypal
sub_00339,u_00838,basic,2026-01-25,,29.0,credit_card
sub_00340,u_00840,pro,2026-05-30,,71.1,paypal
sub_00341,u_00842,pro,2026-05-03,2026-05-10,79.0,paypal
sub_00342,u_00845,pro,2026-03-15,,79.0,credit_card
sub_00343,u_00847,pro,2025-06-01,,79.0,paypal
sub_00344,u_00848,pro,2026-02-19,,63.2,credit_card
sub_00345,u_00852,basic,2026-04-27,,29.0,credit_card
sub_00346,u_00853,basic,2025-07-03,,29.0,paypal
sub_00347,u_00856,basic,2026-05-26,,23.2,credit_card
sub_00348,u_00858,basic,2026-01-30,,29.0,credit_card
sub_00349,u_00859,basic,2026-05-22,,29.0,bank_transfer
sub_00350,u_00860,pro,2025-10-26,2025-12-15,71.1,credit_card
sub_00351,u_00865,enterprise,2026-02-01,,224.1,credit_card
sub_00352,u_00867,basic,2026-05-02,,23.2,credit_card
sub_00353,u_00871,basic,2026-04-16,,23.2,bank_transfer
sub_00354,u_00874,pro,2026-05-28,,79.0,credit_card
sub_00355,u_00879,pro,2026-04-25,,79.0,paypal
sub_00356,u_00883,basic,2026-05-15,,29.0,credit_card
sub_00357,u_00885,basic,2026-05-03,,26.1,credit_card
sub_00358,u_00888,basic,2026-05-16,,26.1,credit_card
sub_00359,u_00890,pro,2025-11-26,,71.1,credit_card
sub_00360,u_00892,basic,2025-09-15,,29.0,bank_transfer
sub_00361,u_00894,basic,2025-12-22,,23.2,bank_transfer
sub_00362,u_00902,basic,2026-05-02,,23.2,credit_card
sub_00363,u_00903,basic,2026-01-24,2026-02-01,29.0,paypal
sub_00364,u_00904,basic,2026-03-13,,29.0,credit_card
sub_00365,u_00908,basic,2026-04-18,,29.0,bank_transfer
sub_00366,u_00911,basic,2026-04-16,,26.1,bank_transfer
sub_00367,u_00913,pro,2026-03-16,,63.2,credit_card
sub_00368,u_00914,pro,2026-02-04,,79.0,credit_card
sub_00369,u_00918,basic,2025-11-03,,29.0,credit_card
sub_00370,u_00920,basic,2025-08-09,,29.0,bank_transfer
sub_00371,u_00924,basic,2026-03-12,,29.0,credit_card
sub_00372,u_00926,basic,2026-04-16,,29.0,paypal
sub_00373,u_00929,pro,2026-04-18,,79.0,credit_card
sub_00374,u_00930,pro,2026-05-10,,79.0,credit_card
sub_00375,u_00933,basic,2026-02-12,2026-02-19,29.0,credit_card
sub_00376,u_00936,pro,2026-05-29,,79.0,paypal
sub_00377,u_00940,basic,2026-04-15,,23.2,credit_card
sub_00378,u_00941,basic,2026-02-03,,23.2,credit_card
sub_00379,u_00945,basic,2026-05-30,,29.0,credit_card
sub_00380,u_00947,pro,2025-06-30,,79.0,paypal
sub_00381,u_00949,enterprise,2026-01-19,,224.1,credit_card
sub_00382,u_00951,basic,2025-12-23,2026-02-06,23.2,credit_card
sub_00383,u_00954,pro,2026-03-13,,71.1,paypal
sub_00384,u_00955,pro,2026-03-22,,79.0,credit_card
sub_00385,u_00957,basic,2026-05-24,,29.0,credit_card
sub_00386,u_00959,pro,2025-11-17,,79.0,credit_card
sub_00387,u_00964,pro,2026-04-12,,79.0,credit_card
sub_00388,u_00968,basic,2026-01-30,,29.0,paypal
sub_00389,u_00971,pro,2025-06-01,,63.2,paypal
sub_00390,u_00973,basic,2026-04-26,,26.1,credit_card
sub_00391,u_00974,basic,2026-05-27,,29.0,paypal
sub_00392,u_00976,pro,2026-01-20,2026-02-02,71.1,credit_card
sub_00393,u_00977,basic,2026-05-24,,29.0,credit_card
sub_00394,u_00980,basic,2026-04-02,,29.0,credit_card
sub_00395,u_00982,pro,2026-05-15,,79.0,credit_card
sub_00396,u_00988,pro,2026-04-20,,79.0,paypal
sub_00397,u_00989,basic,2025-09-25,,29.0,credit_card
sub_00398,u_00990,basic,2025-10-10,,29.0,credit_card
sub_00399,u_00991,basic,2025-12-10,,26.1,credit_card
sub_00400,u_00992,basic,2026-04-15,,29.0,credit_card
sub_00401,u_00994,pro,2026-03-27,,71.1,paypal
sub_00402,u_00996,pro,2025-06-03,,79.0,credit_card
sub_00403,u_00997,basic,2026-05-10,,23.2,paypal
sub_00404,u_01005,pro,2025-12-26,,79.0,credit_card
sub_00405,u_01006,basic,2025-12-11,,23.2,credit_card
sub_00406,u_01007,pro,2025-08-29,,79.0,credit_card
sub_00407,u_01008,basic,2026-04-20,,26.1,credit_card
sub_00408,u_01011,basic,2025-06-01,,29.0,paypal
sub_00409,u_01012,enterprise,2025-06-01,,199.2,bank_transfer
sub_00410,u_01014,pro,2025-12-04,,79.0,credit_card
sub_00411,u_01015,pro,2025-06-01,,79.0,credit_card
sub_00412,u_01016,basic,2026-05-03,,29.0,paypal
sub_00413,u_01017,pro,2026-01-29,,79.0,bank_transfer
sub_00414,u_01019,enterprise,2026-05-26,,249.0,credit_card
sub_00415,u_01020,basic,2025-12-08,2026-01-20,23.2,paypal
sub_00416,u_01022,pro,2025-06-01,,71.1,paypal
sub_00417,u_01028,basic,2026-04-06,,29.0,credit_card
sub_00418,u_01033,basic,2026-05-13,,29.0,credit_card
sub_00419,u_01034,basic,2026-05-20,,29.0,credit_card
sub_00420,u_01035,pro,2025-12-09,,79.0,paypal
sub_00421,u_01036,basic,2026-04-01,,29.0,credit_card
sub_00422,u_01038,pro,2026-05-22,,79.0,credit_card
sub_00423,u_01039,basic,2026-04-06,,29.0,credit_card
sub_00424,u_01041,basic,2025-10-16,,26.1,bank_transfer
sub_00425,u_01042,pro,2026-04-06,,71.1,credit_card
sub_00426,u_01043,basic,2026-01-08,,29.0,credit_card
sub_00427,u_01045,basic,2026-01-12,,29.0,credit_card
sub_00428,u_01052,basic,2025-06-01,,23.2,credit_card
sub_00429,u_01053,basic,2025-10-10,,26.1,paypal
sub_00430,u_01054,enterprise,2025-06-01,,199.2,paypal
sub_00431,u_01057,pro,2026-03-18,,63.2,credit_card
sub_00432,u_01059,basic,2026-01-08,,23.2,credit_card
sub_00433,u_01060,basic,2025-08-03,,23.2,credit_card
sub_00434,u_01062,pro,2025-10-31,,71.1,bank_transfer
sub_00435,u_01063,basic,2026-03-14,,29.0,credit_card
sub_00436,u_01071,pro,2026-04-23,,63.2,credit_card
sub_00437,u_01079,basic,2025-06-01,,29.0,credit_card
sub_00438,u_01080,enterprise,2025-10-19,,249.0,bank_transfer
sub_00439,u_01083,basic,2025-07-28,,29.0,credit_card
sub_00440,u_01084,basic,2025-06-01,2025-06-08,29.0,credit_card
sub_00441,u_01086,pro,2026-01-13,,79.0,bank_transfer
